"Geography","Geographic Area Name","Total"
"1400000US36005035900","Census Tract 359; Bronx County; New York","3731"
"1400000US36005036000","Census Tract 360; Bronx County; New York","3024"
"1400000US36005036100","Census Tract 361; Bronx County; New York","5569"
"1400000US36005036300","Census Tract 363; Bronx County; New York","7074"
"1400000US36005036400","Census Tract 364; Bronx County; New York","2603"
"1400000US36005036501","Census Tract 365.01; Bronx County; New York","3897"
"1400000US36005036502","Census Tract 365.02; Bronx County; New York","2449"
"1400000US36005036700","Census Tract 367; Bronx County; New York","2672"
"1400000US36005036800","Census Tract 368; Bronx County; New York","2165"
"1400000US36005036901","Census Tract 369.01; Bronx County; New York","1910"
"1400000US36005036902","Census Tract 369.02; Bronx County; New York","2324"
"1400000US36005037000","Census Tract 370; Bronx County; New York","2536"
"1400000US36005037100","Census Tract 371; Bronx County; New York","4504"
"1400000US36005037200","Census Tract 372; Bronx County; New York","2289"
"1400000US36005037300","Census Tract 373; Bronx County; New York","6117"
"1400000US36005037400","Census Tract 374; Bronx County; New York","3890"
"1400000US36005037504","Census Tract 375.04; Bronx County; New York","4023"
"1400000US36005037600","Census Tract 376; Bronx County; New York","2274"
"1400000US36005037800","Census Tract 378; Bronx County; New York","3569"
"1400000US36005037900","Census Tract 379; Bronx County; New York","6878"
"1400000US36005038000","Census Tract 380; Bronx County; New York","4938"
"1400000US36005038100","Census Tract 381; Bronx County; New York","6853"
"1400000US36005038200","Census Tract 382; Bronx County; New York","2852"
"1400000US36005038301","Census Tract 383.01; Bronx County; New York","4635"
"1400000US36005038303","Census Tract 383.03; Bronx County; New York","3468"
"1400000US36005038304","Census Tract 383.04; Bronx County; New York","2508"
"1400000US36005038500","Census Tract 385; Bronx County; New York","5362"
"1400000US36005038600","Census Tract 386; Bronx County; New York","7949"
"1400000US36005038700","Census Tract 387; Bronx County; New York","3401"
"1400000US36005038800","Census Tract 388; Bronx County; New York","2941"
"1400000US36005038900","Census Tract 389; Bronx County; New York","4819"
"1400000US36005039000","Census Tract 390; Bronx County; New York","3323"
"1400000US36005039100","Census Tract 391; Bronx County; New York","7210"
"1400000US36005039200","Census Tract 392; Bronx County; New York","1809"
